productName,companyName,receptionNumber
Thực phẩm bảo vệ sức khỏe Lợi Khuẩn Probiotics ZinC,CÔNG TY TNHH CHITTA PHARMA,6314/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GOLDFIVE MULTIVITAMIN KHOÁNG CHẤT Nữ,CÔNG TY TNHH DƯỢC PHẨM SINH HỌC THÁNG NĂM,6313/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe NATUR LIPOCAL,CÔNG TY TNHH APOLLO PHARM VIỆT NAM,6312/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe : Healic Red A+D,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DƯỢC PHẨM PHÚ NGUYÊN,6311/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe PROCAL EXTRA NLB,CÔNG TY TNHH DƯỢC PHẨM NGUYÊN LỘC BẢO,6310/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe: Gold sun kild DHA 50mg,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ ÁNH DƯƠNG,6309/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KPOWER,CÔNG TY TNHH THƯƠNG MẠI PHÁT TRIỂN TDM,6308/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe EO’S NIGHT,CÔNG TY TNHH TUỆ VI,6307/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Henry Blooms Infant Liquid D3 & K2 with Probiotic,CÔNG TY TNHH INTERSHOP,6306/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Herbal Thanh Nhiệt,CÔNG TY CỔ PHẦN DƯỢC QUỐC TẾ TÙNG LỘC,6305/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TOGA EXTRA,CÔNG TY TNHH THẢO DƯỢC THIÊN THÀNH NAM,6304/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Ferronova Plus Capsules,CÔNG TY TNHH H&K PHARMA,6303/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe EOO NIGHT X3,CÔNG TY TNHH KIM NATURAL COSMETICS,6302/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe : Bổ gan Vimphar Aganop+,Công ty cổ phần dược mỹ phẩm Tuệ Đức,6301/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe MediUSA CALCIUM MAGNESIUM ZINC VITAMIN D3 DROPS (30ml Liquid),CÔNG TY TRÁCH NHIỆM HỮU HẠN MEDIUSA,6300/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Viên uống GIẢI ĐỘC GAN NAHA,CÔNG TY TNHH DƯỢC PHẨM NAHACO,6299/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Men tiêu hóa Enterobio Fast,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI ĐẠT PHÚ TÍN,6298/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe EnterBio 4 Bill Gold,CÔNG TY TNHH VIỆT TÍN PHARMA,6297/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe: LAC Bitter Melon Formula,CÔNG TY TNHH LAC VIETNAM,6296/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ KIDWELL FERRAZO,CÔNG TY CỔ PHẦN DƯỢC PHẨM SOHACO MIỀN BẮC,6295/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe PEAK - DIA,CÔNG TY TNHH DƯỢC PHẨM PEAKMEDI,6294/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ GAN LOR 500,CÔNG TY TNHH DƯỢC OCEAN PHARMA,6293/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ARGINMETHIO PLUS,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC PHẨM TÂY HỒ,6292/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ SLIM BODY-TOX,CÔNG TY TNHH SKIN & BODY LAB,6291/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Omega 3 Krill oil,CÔNG TY CỔ PHẦN DƯỢC PHẨM G2T PHARMA,6290/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Cadimax Care,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SUM VINA EU,6289/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ENTER ITALY,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ AVC,6288/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ CỐM ĂN NGON TĂNG ĐỀ KHÁNG KAHA KIDS,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC VẬT TƯ Y TẾ KHẢI HÀ,6287/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Harman TUỆ TĨNH,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH DƯỢC PHẨM TUỆ TĨNH,6286/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ LIVERKING CGL,CÔNG TY CỔ PHẦN DƯỢC PHẨM CYNOCINE,6285/2024/ĐKSP
Thực Phẩm Bảo Vệ Sức Khỏe Multivitamin Coated Tablets,CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC PHẨM HC,6284/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe XUÂN ĐẾ VƯƠNG,CÔNG TY CỔ PHẦN TẬP ĐOÀN XUÂN DƯỢC,6283/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Vienbothankinh Radar,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ RADAR USA,6282/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe PEPX,CÔNG TY TNHH MAI AN KIM VIỆT NAM,6281/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BẢO HUYẾT KHANG,CÔNG TY TNHH GROW GREEN AZ,6280/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TONIC JOINT,CÔNG TY TNHH DƯỢC PHẨM & THIẾT BỊ Y TẾ TIPHACO,6279/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Giải rượu HK,CÔNG TY TNHH THƯƠNG MẠI & XUẤT NHẬP KHẨU DƯỢC PHẨM HK GROUPS,6278/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TIỂU ĐÊM ĐAN CỬU SƠN,CÔNG TY CỔ PHẦN VINPHAR USA,6277/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Virop Probiotics,CÔNG TY TNHH DP THÁI LINH,6276/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KHANG DƯỢC GOLD,CÔNG TY TNHH NAM DƯỢC,6275/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GEL DẠ DÀY GOLD HEART,CÔNG TY TNHH XUẤT NHẬP KHẨU DƯỢC PHẨM GOLD HEART,6274/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TOPVIE BIOZINC,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU TOPVIE,6273/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Michi - Arginin Extra,CÔNG TY CỔ PHẦN DƯỢC PHẨM MICHI USA,6272/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SOLECHILD PROBIOTICS,CÔNG TY TNHH DƯỢC PHẨM HUTAPHAR,6271/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SOLECHILD BIZINC,CÔNG TY TNHH DƯỢC PHẨM HUTAPHAR,6270/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe FAITH GOLD,CÔNG TY CỔ PHẦN DƯỢC TÍN ĐỨC,6269/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TOLIVER HG,CÔNG TY TNHH HOÀNG GIA PHARMA,6268/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ EVINAS,Công ty cổ phần đầu tư dược phẩm SUM,6267/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ HD - CALX,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ HDMAX,6266/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HA.DUON P/A,Công ty Cổ phần Nghiên cứu thảo dược công nghệ cao Pháp Anh,6265/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DES LIVER,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC PHẨM HT PHARMA,6264/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Đạm nhi đa vi chất multi-kids eduphar,CÔNG TY CỔ PHẦN HÓA DƯỢC EDUPHARM,6263/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe FEDALES,CÔNG TY CỔ PHẦN TẬP ĐOÀN MEDIX,6262/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ VŨ TÂM ĐƯỜNG,CÔNG TY TNHH NAM DƯỢC VŨ GIA,6261/2024/ĐKSP
"Thực phẩm bảo vệ sức khỏe Kẽm 4,8mg Bisgly true zinmin",CÔNG TY CỔ PHẦN ĐẦU TƯ BẢO TÂM,6260/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GOLSAMIN BONE,CÔNG TY TNHH DƯỢC PHẨM VNP,6259/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HEMOGLOBIN E&S PHARMA,CÔNG TY TNHH DƯỢC PHẨM E&S VIỆT NAM,6258/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KHỚP VƯƠNG HL,CÔNG TY TNHH DƯỢC HOÀNG LAN,6257/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Vital hair,CÔNG TY TNHH QUỐC TẾ SAKOPHA,6256/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Essepatil EXTRA Softgel Activlab Pharma,CÔNG TY CỔ PHẦN CÔNG NGHỆ DƯỢC PHẨM VINAPHARMA,5444/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Bacopa,CÔNG TY CỔ PHẦN CÔNG NGHỆ DƯỢC PHẨM VINAPHARMA,6255/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ EYE LV GOLD PLUS,CÔNG TY TNHH AUDACE HEALTH,6254/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CAL ANRIMEX,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ ANRIMEX - JAPAN,6253/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Slimingx200,CÔNG TY TNHH CT NATURE VIỆT NAM,6252/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ĐA VI CHẤT META,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI META CARE,6250/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ĐẠI TRÀNG THẢO MỘC,CÔNG TY TNHH THẢO MỘC PHÁT PHARCO,6249/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HOẠT HUYẾT - CRP.CEA.CUT,CHI NHÁNH TP HỒ CHÍ MINH - CÔNG TY CP DƯỢC VIỆT Y,6248/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Men vi sinh HABIOTIC 6 BILL PRO,CÔNG TY TNHH DƯỢC HÀ AN,6247/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HOVAXUMAX,CÔNG TY TNHH PG VẠN XUÂN,6246/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe D3 + K2 Premium,CÔNG TY TNHH TẬP ĐOÀN DƯỢC PHẨM AVIPHAR,6245/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ HYENA SLIM PINK+,CÔNG TY TNHH DƯỢC PHẨM PH.PHARCO USA,6244/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Khớp Vai Gáy Green,CÔNG TY CỔ PHẦN GREEN HEALTH VIỆT NAM,6243/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BHB Acid Uric,CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ ĐÔNG TRẦN,6242/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CeVitamin Kids,Công ty TNHH Viva Care,6241/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Bổ máu HK,CÔNG TY TNHH THƯƠNG MẠI & XUẤT NHẬP KHẨU DƯỢC PHẨM HK GROUPS,6240/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe THYMOKARON,HỘ KINH DOANH ANH THƯ,6239/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe IBAKID PLUS,CÔNG TY CỔ PHẦN DƯỢC PHẨM HƯỚNG VIỆT,6238/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VIÊN TIỂU ĐÊM URINIGHT,CÔNG TY TNHH DENMARK VIỆT NAM,6237/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Thiên Môn (450mg) Bổ Phổi HELIX FORTE,CÔNG TY TNHH NHẤT TÂM PHARMA,6236/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Nhất Dạ HPGOLD,CÔNG TY TNHH NHẤT TÂM PHARMA,6235/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VAI GÁY JOINTS HA,CÔNG TY TNHH DƯỢC HÀ AN,6234/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DNC AN MẠCH,CÔNG TY TNHH MỘT THÀNH VIÊN BỆNH VIỆN ĐẠI HỌC NAM CẦN THƠ,6233/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Viên bổ não - an thần,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ TỔNG HỢP NỮ HOÀNG,6232/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe α Tryperin,Công ty TNHH Liên doanh Công nghệ Cao Việt Nam - Hoa Kỳ,6231/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Bidulinmax,CÔNG TY TNHH DƯỢC PHẨM K-HOLDING,6230/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Mạch Phục Khang,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI ĐÔNG Y DƯỢC HƯNG VƯỢNG,6229/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Calci D3 aqua premium,CÔNG TY TNHH DƯỢC PHẨM MT BESTTECK PHARM,6228/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VIÊN TIỂU ĐÊM PEPONEN,CÔNG TY TNHH ĐẦU TƯ XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI THÀNH ĐỨC,6227/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SIRO BỔ MÁU FEROLCARE,CÔNG TY CỔ PHẦN DƯỢC PHẨM NOLAN,6226/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe APLUS GUZZ NOURIC,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI NHẤT KHANG GROUP,6225/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ MÁU LIPOFE,CÔNG TY TNHH DƯỢC OCEAN PHARMA,6224/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe SIRO GIẢI ĐỘC GAN NACO,CÔNG TY CỔ PHẦN DƯỢC PHẨM NACOPHARM,6223/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe AN NGUYỆT HẠ,CÔNG TY TNHH THƯƠNG MẠI PHÚC HƯNG PHARMA,6222/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Optibac Pregnancy,CÔNG TY TNHH OPTIBAC PROBIOTICS (VIETNAM),6221/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CALCIUM D3 KIDS PROVITAL,CÔNG TY TNHH DƯỢC PHẨM LỘC VIỆT,6220/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe PROMAN,CÔNG TY CỔ PHẦN CÔNG NGHỆ DƯỢC PHẨM VINAPHARMA,6219/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GINGINNAT GỪNG,CÔNG TY TNHH MTV VIETNAT,6218/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Sâm cau 225 HGPRO,CÔNG TY TNHH SANFORDPHARMA USA,6217/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe KHỚP VAI GÁY KARIK,CÔNG TY TNHH DƯỢC PHẨM KARIK VIỆT NAM,6216/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ LIBIO +,CÔNG TY CỔ PHẦN DƯỢC NATURE VIỆT NAM,6215/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VT - LCYSTINE 500 NEW,CÔNG TY TNHH DƯỢC PHẨM VŨ THỊNH,6214/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe NANPHIOCORD PLUS,CÔNG TY CỔ PHẦN LINH DƯỢC TRƯỜNG SƠN,6213/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BỔ GAN BOGA GOLD,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ ANH QUỐC,6212/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ NQ - CHẤT XƠ FIBER KIDS,CÔNG TY TNHH DƯỢC PHẨM NGỌC QUÝ,6211/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ MENSPOREX BÀO TỬ LỢI KHUẨN FOR FAMILY,CÔNG TY TNHH DƯỢC PHẨM UNIPHAR,6210/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ ĐƯỜNG HUYẾT DACO,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM DACO,6209/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ NABURN DETOX,HỘ KINH DOANH CHẾ BIẾN NÔNG SẢN HỮU CƠ TRÍ UYÊN,6208/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Polydetol,CÔNG TY TNHH THƯƠNG MẠI OMEGA VIỆT NAM,6207/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ PROBIO ZINCAMIX,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ TRÍ TÍN,6206/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Cốm Đại tràng Nhật Khang,CÔNG TY TNHH DƯỢC PHẨM NHẬT KHANG,6205/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Wellforce Probiotics GKM-3 Body,CÔNG TY TNHH MEDIMAP,6204/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Enter Men 4 Tỷ,CÔNG TY TNHH DƯỢC VÀ VẬT TƯ Y TẾ Y ĐỨC,6203/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe GIẢI ĐỘC GAN Chitta Plus,CÔNG TY TNHH CHITTA PHARMA,6202/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe PHYTOEVA Primrose,CÔNG TY CỔ PHẦN NUTRAMED,6201/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe FORMENHINEW,CÔNG TY TNHH PHÁT TRIỂN Y TẾ NEWCARE,6200/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Khang Tâm Bổ Thận Tiểm Đêm NatuGold,CÔNG TY CỔ PHẦN TM NATULIFE VIỆT NAM,6199/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ PABLO,CÔNG TY TNHH DP PHÚC ĐỨC VIỆT NAM,6198/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe JOMAXX,Công ty cổ phần công nghệ và dược phẩm Châu Âu,6197/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe DHEA Q10 PROMETHEUS,CÔNG TY TNHH DƯỢC PHẨM PROMETHEUS,6196/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Boulardi Salu100,CÔNG TY CỔ PHẦN DƯỢC PHẨM AN THỊNH PHARMA,6195/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Procreative WOMAN Activlab Pharma,CÔNG TY TNHH XUẤT NHẬP KHẨU CHUẨN ÂU,6194/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe LONG SÂM LINH ĐAN,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO THÁI MINH,6193/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ NATUREWORKS BIOCALCI,CÔNG TY CỔ PHẦN DƯỢC MỸ PHẨM CVI,6192/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Bio-Magnesium®,CÔNG TY TNHH PHARMA NORD VIỆT NAM,6191/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Canula Sleep Gold,CÔNG TY TNHH HD-PROLIFE,6190/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HERAMAMA β+,CÔNG TY TNHH XUẤT NHẬP KHẨU CHUẨN ÂU,6189/2024/ĐKSP
"Thực phẩm bảo vệ sức khỏe NMN Fucoidan 30,150+",Công ty TNHH Kangmi,6188/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe BÀO TỬ LỢI KHUẨN PROBIOTIC ENTER BIOMIN 3M,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ XNK DƯỢC PHẨM LIÊN DOANH MED THỤY SỸ,6187/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Kaokao,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC TÂM PHÚC,6186/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ĐẠI TRÀNG THẢO ĐAN,CÔNG TY TNHH ĐẾ VƯƠNG NAM,6185/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Aucimine,CÔNG TY CỔ PHẦN DƯỢC PHẨM SANTE HEALTH,6184/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ ĐƯỜNG HUYẾT TS. HUY,CÔNG TY TNHH SKX ORGANIC USA,5890/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ SUNBEE NOSE PLUS,CÔNG TY TNHH DƯỢC PHẨM LIVIN'GREEN VIỆT NAM,6183/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VIÊN TIỂU ĐÊM AN THẬN AQ,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ ANH QUỐC,6182/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Biomax Plus Thiên Dược,CÔNG TY CỔ PHẦN ĐTTM THIÊN DƯỢC,6181/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe TESTO MEN META,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI META CARE,6180/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe FEROMAX ALULA,CÔNG TY TNHH ALULA VIỆT NAM,6179/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ SEACALCINE,CÔNG TY CỔ PHẦN DƯỢC PHẨM CYNOCINE,6178/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe CAO KHÔ RỄ HÀ THỦ Ô ĐỎ 200MG TW3 PLUS,CÔNG TY TNHH DƯỢC PHẨM ĐẠI PHÚ AN,6177/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Cabemi Liver Support,CÔNG TY CỔ PHẦN CABEMI ANH QUỐC,6176/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Vita 3B-Magie BIOGEN,CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ BIOGEN,6175/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ XƯƠNG KHỚP TUỆ ĐĂNG,CÔNG TY TNHH DƯỢC PHẨM TUỆ ĐĂNG,6174/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Alaska Oil Omega-3 Fish Oil,CÔNG TY CỔ PHẦN DƯỢC PHẨM IMEDPHARM,6173/2024/ĐKSP
Thực phẩm bảo vệ sức khoẻ Blue Omega-3,CÔNG TY CỔ PHẦN DƯỢC PHẨM IMEDPHARM,6172/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Ayurvit Multivitamins Herbal Syrup,CÔNG TY TNHH VEGA HEALTHCARE,6171/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Smartlife CF,Công ty cổ phần nghiên cứu và sản xuất dược phẩm Meracine,6170/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe HAXI NEURON,CÔNG TY CỔ PHẦN VIỆN TRỊ LIỆU CÔNG NGHỆ CAO TOÀN CẦU,6169/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe VTM Omega 3 Plus,CÔNG TY TNHH DƯỢC MỸ PHẨM VTM,6168/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe ATCYL SALUMED,CÔNG TY CỔ PHẦN DƯỢC PHẨM AN THỊNH PHARMA,6167/2024/ĐKSP
Thực phẩm bảo vệ sức khỏe Prenatal Pro,Công ty cổ phần sản xuất và thương mại Phương Tây,6166/2024/ĐKSP
